317.740, 129.490, 0.000,  0.000 False
317.740, 129.490, 0.002,  0.023 False
317.740, 129.490, 0.002,  0.056 False
317.740, 129.490, 0.002,  0.089 False
317.740, 129.490, 0.010,  0.122 False
317.739, 129.490, 0.009,  0.155 False
317.739, 129.490, 0.008,  0.188 False
317.738, 129.490, 0.008,  0.221 False
317.738, 129.490, 0.008,  0.254 False
317.738, 129.490, 0.008,  0.287 False
317.737, 129.490, 0.008,  0.320 False
317.737, 129.490, 0.010,  0.353 False
317.737, 129.490, 0.011,  0.386 False
317.736, 129.490, 0.014,  0.419 False
317.735, 129.490, 0.017,  0.452 False
317.735, 129.490, 0.022,  0.485 False
317.734, 129.490, 0.029,  0.518 False
317.731, 129.490, 0.086,  0.551 False
317.725, 129.490, 0.201,  0.584 False
317.715, 129.490, 0.298,  0.617 False
317.699, 129.490, 0.448,  0.650 False
317.685, 129.490, 0.420,  0.683 False
317.670, 129.490, 0.461,  0.716 False
317.655, 129.490, 0.469,  0.749 False
317.640, 129.490, 0.476,  0.782 False
317.622, 129.490, 0.556,  0.815 False
317.601, 129.490, 0.615,  0.848 False
317.579, 129.490, 0.663,  0.881 False
317.556, 129.490, 0.689,  0.914 False
317.533, 129.490, 0.695,  0.947 False
317.509, 129.490, 0.734,  0.980 False
317.484, 129.490, 0.771,  1.013 False
317.458, 129.490, 0.806,  1.046 False
317.431, 129.490, 0.821,  1.079 False
317.403, 129.490, 0.835,  1.112 False
317.375, 129.490, 0.862,  1.145 False
317.346, 129.490, 0.890,  1.178 False
317.315, 129.490, 0.924,  1.211 False
317.283, 129.490, 0.960,  1.244 False
317.250, 129.490, 1.001,  1.277 False
317.216, 129.490, 1.044,  1.310 False
317.180, 129.490, 1.089,  1.343 False
317.142, 129.490, 1.135,  1.376 False
317.103, 129.490, 1.181,  1.409 False
317.062, 129.490, 1.224,  1.442 False
317.021, 129.490, 1.265,  1.475 False
316.977, 129.490, 1.304,  1.508 False
316.933, 129.490, 1.341,  1.541 False
316.887, 129.490, 1.375,  1.574 False
316.841, 129.490, 1.408,  1.607 False
316.793, 129.490, 1.439,  1.640 False
316.744, 129.490, 1.468,  1.673 False
316.695, 129.490, 1.496,  1.706 False
316.644, 129.490, 1.524,  1.739 False
316.593, 129.490, 1.550,  1.772 False
316.541, 129.490, 1.577,  1.805 False
316.487, 129.490, 1.604,  1.838 False
316.433, 129.490, 1.631,  1.871 False
316.378, 129.490, 1.658,  1.904 False
316.322, 129.490, 1.686,  1.937 False
316.266, 129.490, 1.715,  1.970 False
316.208, 129.490, 1.744,  2.003 False
316.149, 129.490, 1.774,  2.036 False
316.089, 129.490, 1.804,  2.069 False
316.028, 129.490, 1.835,  2.102 False
315.966, 129.490, 1.867,  2.135 False
315.903, 129.490, 1.899,  2.168 False
315.839, 129.490, 1.931,  2.201 False
315.774, 129.490, 1.963,  2.234 False
315.707, 129.490, 1.996,  2.267 False
315.640, 129.490, 2.028,  2.300 False
315.572, 129.490, 2.060,  2.333 False
315.502, 129.490, 2.092,  2.366 False
315.432, 129.490, 2.123,  2.399 False
315.360, 129.490, 2.155,  2.432 False
315.287, 129.490, 2.186,  2.465 False
315.214, 129.490, 2.216,  2.498 False
315.139, 129.490, 2.246,  2.531 False
315.064, 129.490, 2.275,  2.564 False
314.987, 129.490, 2.304,  2.597 False
314.910, 129.490, 2.333,  2.630 False
314.831, 129.490, 2.362,  2.663 False
314.752, 129.490, 2.390,  2.696 False
314.671, 129.490, 2.420,  2.729 False
314.590, 129.490, 2.449,  2.762 False
314.508, 129.490, 2.479,  2.795 False
314.424, 129.490, 2.509,  2.828 False
314.340, 129.490, 2.538,  2.861 False
314.254, 129.490, 2.568,  2.894 False
314.168, 129.490, 2.598,  2.927 False
314.081, 129.490, 2.628,  2.960 False
313.992, 129.490, 2.658,  2.993 False
313.903, 129.490, 2.688,  3.026 False
313.813, 129.490, 2.719,  3.059 False
313.721, 129.490, 2.749,  3.092 False
313.629, 129.490, 2.780,  3.125 False
313.535, 129.490, 2.810,  3.158 False
313.441, 129.490, 2.840,  3.191 False
313.346, 129.490, 2.871,  3.224 False
313.249, 129.490, 2.901,  3.257 False
313.152, 129.490, 2.931,  3.290 False
313.053, 129.490, 2.962,  3.323 False
312.954, 129.490, 2.992,  3.356 False
312.853, 129.490, 3.022,  3.389 False
312.752, 129.490, 3.052,  3.422 False
312.649, 129.490, 3.083,  3.455 False
312.546, 129.490, 3.113,  3.488 False
312.441, 129.490, 3.144,  3.521 False
312.336, 129.490, 3.174,  3.554 False
312.229, 129.490, 3.205,  3.587 False
