-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.141, 0.595,  0.379
-183.758, 80.118, 0.705,  0.412
-183.739, 80.092, 0.829,  0.445
-183.717, 80.062, 0.951,  0.478
-183.692, 80.029, 1.065,  0.511
-183.664, 79.994, 1.162,  0.544
-183.633, 79.955, 1.278,  0.577
-183.601, 79.913, 1.402,  0.610
-183.569, 79.868, 1.526,  0.643
-183.537, 79.819, 1.629,  0.676
-183.507, 79.768, 1.702,  0.709
-183.478, 79.715, 1.741,  0.742
-183.450, 79.662, 1.768,  0.775
-183.422, 79.608, 1.773,  0.808
-183.395, 79.555, 1.760,  0.841
-183.368, 79.503, 1.734,  0.874
-183.341, 79.452, 1.697,  0.907
-183.314, 79.404, 1.633,  0.940
-183.288, 79.357, 1.574,  0.973
-183.262, 79.313, 1.516,  1.006
-183.235, 79.271, 1.466,  1.039
-183.208, 79.230, 1.423,  1.072
-183.181, 79.190, 1.391,  1.105
-183.154, 79.152, 1.370,  1.138
-183.126, 79.114, 1.360,  1.171
-183.099, 79.076, 1.361,  1.204
-183.071, 79.038, 1.372,  1.237
-183.043, 78.999, 1.391,  1.270
-183.016, 78.959, 1.417,  1.303
-182.988, 78.919, 1.446,  1.336
-182.961, 78.877, 1.477,  1.369
-182.935, 78.833, 1.504,  1.402
-182.908, 78.789, 1.528,  1.435
-182.883, 78.744, 1.548,  1.468
-182.857, 78.698, 1.562,  1.501
-182.833, 78.652, 1.573,  1.534
-182.808, 78.605, 1.579,  1.567
-182.784, 78.558, 1.582,  1.600
-182.761, 78.511, 1.583,  1.633
-182.737, 78.464, 1.582,  1.666
-182.714, 78.417, 1.580,  1.699
-182.692, 78.369, 1.577,  1.732
